"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","total_monthly_quota","organization","repository","cost_center_name","aic_quantity","aic_gross_amount"
"2026-06-01","PetrVokalek","copilot","copilot_ai_credit","Auto: Claude Haiku 4.5","6.1362","ai-credits","0.01","0.061362","0.061362","0","1900","RBCZ-copilots","","RBCZ-GitHub-Copilot-CC","0","0"
"2026-06-01","cza18266","copilot","copilot_ai_credit","Auto: Claude Haiku 4.5","4.80636","ai-credits","0.01","0.0480636","0.0480636","0","1900","RBCZ-copilots","","RBCZ-GitHub-Copilot-CC","0","0"
"2026-06-01","anetarothova","copilot","copilot_ai_credit","Auto: Claude Haiku 4.5","8.2740735","ai-credits","0.01","0.082740735","0.082740735","0","1900","RBCZ-copilots","","RBCZ-GitHub-Copilot-CC","0","0"
"2026-06-01","ksavincova","copilot","copilot_ai_credit","Auto: Claude Haiku 4.5","0.38655","ai-credits","0.01","0.0038655","0.0038655","0","1900","RBCZ-copilots","","RBCZ-GitHub-Copilot-CC","0","0"
"2026-06-01","nomas2","copilot","copilot_ai_credit","Auto: Claude Haiku 4.5","106.000776","ai-credits","0.01","1.06000776","1.06000776","0","1900","RBCZ-copilots","","RBCZ-GitHub-Copilot-CC","0","0"
"2026-06-01","MoniKubi","copilot","copilot_ai_credit","Auto: Claude Haiku 4.5","49.6597275","ai-credits","0.01","0.496597275","0.496597275","0","1900","RBCZ-copilots","","RBCZ-GitHub-Copilot-CC","0","0"
"2026-06-01","KarPono","copilot","copilot_ai_credit","Auto: Claude Haiku 4.5","2.01231","ai-credits","0.01","0.0201231","0.0201231","0","1900","RBCZ-copilots","","RBCZ-GitHub-Copilot-CC","0","0"
"2026-06-01","zdenekmartinec","copilot","copilot_ai_credit","Auto: Claude Haiku 4.5","0.07452","ai-credits","0.01","0.0007452","0.0007452","0","1900","RBCZ-copilots","","RBCZ-GitHub-Copilot-CC","0","0"
"2026-06-01","LukasRBCZ","copilot","copilot_ai_credit","Auto: Claude Haiku 4.5","17.4785715","ai-credits","0.01","0.174785715","0.174785715","0","1900","RBCZ-copilots","","RBCZ-GitHub-Copilot-CC","0","0"
"2026-06-01","fedosenko-maryna","copilot","copilot_ai_credit","Auto: Claude Haiku 4.5","18.193131","ai-credits","0.01","0.18193131","0.18193131","0","1900","RBCZ-copilots","","RBCZ-GitHub-Copilot-CC","0","0"
"2026-06-01","josef51773e","copilot","copilot_ai_credit","Auto: Claude Haiku 4.5","108.71541","ai-credits","0.01","1.0871541","1.0871541","0","1900","RBCZ-copilots","","RBCZ-GitHub-Copilot-CC","0","0"
"2026-06-01","JT-git-it","copilot","copilot_ai_credit","Auto: Claude Haiku 4.5","1.24416","ai-credits","0.01","0.0124416","0.0124416","0","1900","RBCZ-copilots","","RBCZ-GitHub-Copilot-CC","0","0"
"2026-06-01","VPLRB","copilot","copilot_ai_credit","Auto: Claude Haiku 4.5","59.3313435","ai-credits","0.01","0.593313435","0.593313435","0","1900","RBCZ-copilots","","RBCZ-GitHub-Copilot-CC","0","0"
"2026-06-01","cza15723","copilot","copilot_ai_credit","Auto: Claude Haiku 4.5","16.3452195","ai-credits","0.01","0.163452195","0.163452195","0","1900","RBCZ-copilots","","RBCZ-GitHub-Copilot-CC","0","0"
